"Country","dbase","Year","avgLat","avgLong","majstage","majVar","majSBR","majscSBR","class","sand","PH","silt","clay","CEC","soilbulk","orgcarb","nitrogen","dem","aviJunJul","eviJunJul","gciJunJul","gndviJunJul","ndmiJunJul","tmaxJunJul","tminJunJul","windJunJul","precJunJul","smoistJunJul","pdsiJunJul","vpdJunJul","maxdewJunJul","mindewJunJul","etiJunJul","dsr09JunJul","dsr12JunJul","dsr15JunJul","aviNovDec","eviNovDec","gciNovDec","gndviNovDec","ndmiNovDec","tmaxNovDec","tminNovDec","windNovDec","precNovDec","smoistNovDec","pdsiNovDec","vpdNovDec","maxdewNovDec","mindewNovDec","etiNovDec","dsr09NovDec","dsr12NovDec","dsr15NovDec","aviDecJan","eviDecJan","gciDecJan","gndviDecJan","ndmiDecJan","tmaxDecJan","tminDecJan","windDecJan","precDecJan","smoistDecJan","pdsiDecJan","vpdDecJan","maxdewDecJan","mindewDecJan","etiDecJan","dsr09DecJan","dsr12DecJan","dsr15DecJan"
"Malawi","patrust",2019,-13.97933,33.64513,"x","Kaleya",5,5,"c5",60.90777553,59.85195512,12.79745726,23.64948473,25.00208621,139.1094234,25.55509524,70.05998025,1145.113162,0.255861796,0.169095018,2.011760363,0.500229931,-0.163904796,24.10000038,9.050000191,2.75,3,1125,6.349999905,0.769999981,13.90178871,2.594659328,5.992691645,776.7782532,589.3166022,50.0885032,0.262405299,0.151083327,1.708895705,0.459032264,-0.18016133,29.60000038,18.20000076,2.450000048,481,2757,6.949999809,0.985000014,20.46557045,12.2255497,8.671756075,725.728746,549.9433637,108.0013269,0.348635795,0.335680834,2.175713522,0.495131043,0.115862632,27.60000038,17.89999962,2.150000095,624,3612,8.395000458,0.709999979,20.95162392,14.60793495,12.96993145,655.3167716,478.7251386,93.6832586
"Malawi","patrust",2020,-13.97933,33.64513,"x","Bimha",4,4,"c4",60.90777553,59.85195512,12.79745726,23.64948473,25.00208621,139.1094234,25.55509524,70.05998025,1145.113162,0.258323086,0.168730523,1.997482507,0.498721717,-0.166322261,24.45000076,9.350000381,2.799999952,3,732,1.13499999,0.875,13.25591469,1.398461938,4.393863312,729.6787348,518.9134425,41.27977342,0.268734862,0.160389272,1.755824946,0.466117894,-0.173545512,30.14999962,18.60000038,2.299999952,167,470,-4.71999979,1.320000052,19.03109169,9.062952042,7.90665012,830.3642955,632.8040629,130.7038019,0.222224898,0.137075029,1.372631917,0.406931042,-0.074269362,27.75,17.95000076,1.799999952,415,2093,-4.755000114,0.814999998,20.5682621,15.97667885,14.06183191,696.9014696,478.2278649,92.8775391
"Malawi","online",2016,-13.96853,32.9996,"R6","Mixed",5,3,"c3",69.67988333,59.63118618,11.98791957,18.19304648,22.32059704,142.9406969,20.37984968,50.30199646,1142.779745,0.314081961,0.220814921,1.915489796,0.487918764,-0.12884244,25.0214985,9.069399695,2.851422228,4,907.0232577,-2.578835081,0.905551262,13.72661781,2.464105129,9.471456313,712.3110353,550.7400319,47.48078502,0.355522846,0.244650398,1.628165296,0.445459757,-0.119239527,30.83501623,17.59570799,2.361529263,234.3075158,847.8368094,-2.950000048,1.338553532,20.40426064,10.41759682,14.93577965,814.8877385,563.8698011,116.530917,0.40669845,0.313487394,1.905502797,0.479880545,-0.064445724,29.13858085,17.2271963,1.764171993,373.5986376,2076.718923,-3.410323138,0.806026399,21.41393471,15.49263954,16.83758234,716.3787944,490.5552016,99.81086894
"Malawi","online",2016,-13.92605,32.9992,"R5","SC SERENADE",7,3,"c3",70.5132818,60.00213464,12.08864882,18.90049551,22.7924252,142.5787133,21.52733285,53.82918237,1117.987916,0.273121422,0.162107955,1.673062818,0.454730014,-0.165230953,24.75543255,9.050000191,2.886086477,4,944.2837722,-2.494567541,0.894999981,13.75591469,2.239984035,7.253548127,725.6248846,553.9600939,48.63052414,0.325674036,0.197806723,1.623092099,0.447495119,-0.12720636,30.55543179,17.45543307,2.3810866,236.5654037,882.0886296,-2.950000048,1.311086444,20.17772865,10.131464,12.3208093,786.9437312,584.2271032,119.6399999,0.328701657,0.202317717,1.643862053,0.449854079,-0.123076633,28.90543217,17.21086562,1.808370214,375.7826999,2131.132944,-3.450000048,0.791629758,21.13463783,15.21041298,17.29859705,711.6864014,473.9533949,95.35294403
"Malawi","patrust",2019,-13.91912,33.67707,"x","Kaleya",1,1,"c1",64.86613991,60.76775878,13.01815619,21.62580707,24.878053,138.6971088,25.41578628,68.90835766,1099.740807,0.270230841,0.180055032,2.175615493,0.518695121,-0.14404589,24.14999962,9.25,2.737489243,2.250213968,1173.267315,6.662425106,0.769999981,14.01589394,2.398400784,8.708079963,774.6252552,594.0968293,50.19917179,0.298255255,0.184026209,1.744411232,0.446542116,-0.102334984,29.54999924,18.33748891,2.424978687,471.0042749,2733.289592,7.274978676,0.980000019,20.377985,12.61611366,9.001737548,708.6493863,548.3194876,106.3569165,0.320831273,0.236327431,1.509132835,0.380794079,-0.013767758,27.56251071,17.93753201,2.099999905,625.7514903,3798.020562,8.959974235,0.693753214,21.09285927,14.91546059,15.24387471,640.5138571,457.3856568,88.8710083
"Malawi","online",2016,-13.90206,33.05341,"R5","SC SERENADE",7,3,"c3",71.40214457,60,11.76879047,18.44531659,23.29472833,140.8832608,21.77686581,56.13173908,1088.313379,0.288485768,0.177420906,1.737453638,0.464032278,-0.149445458,24.89995938,9.149999619,2.890006142,4,941.0052335,-2.350040163,0.904999971,13.64349085,1.739842205,8.554607298,724.785969,548.7160775,48.01315752,0.358143804,0.238402307,1.606189594,0.445172578,-0.103245781,30.84993999,17.79997912,2.330007976,226.0020128,817.0132846,-2.950000048,1.359991963,20.10208879,9.837432427,15.93795806,763.2779712,536.5427824,109.0947239,0.380279846,0.275447493,1.806419687,0.465985989,-0.072041808,29.19996049,17.59998026,1.720010092,367.0012075,1973.024153,-3.400000095,0.824995963,20.73938276,15.01937653,20.31453147,685.3804954,483.0285591,98.60401999
"Malawi","online",2016,-13.87864,33.08191,"R5","x",6,3,"c3",72.83139573,59.86041174,10.62883611,17.1991984,22.81568056,143.2567847,20.93523287,55.74418722,1104.33946,0.28762194,0.187915638,1.846146032,0.478728044,-0.133656327,24.82578136,9.180946935,2.895528698,3.693326144,954.4938247,-2.342333089,0.904999971,13.64165688,1.731683373,7.277182353,715.2083591,554.2675803,48.08843876,0.371052511,0.254612799,1.728994209,0.462560703,-0.0855027,30.74126439,17.78028748,2.347787666,227.150922,832.4198643,-2.949470216,1.349483311,20.10085487,9.83263588,14.82208404,779.4661878,559.9861491,113.7313879,0.43357563,0.366816469,2.447992312,0.534818679,0.024740452,29.06388609,17.55700762,1.730178857,367.4444251,1996.790776,-3.430947319,0.813716676,20.73293495,15.01626015,20.36407022,678.2208239,471.7338508,95.99910889
"Malawi","online",2016,-13.82959,33.05373,"R6","TIKOLORE",7,3,"c3",70.48575499,59.84290326,11.78983851,18.68789899,22.65293463,143.6977382,21.23806311,53.9096939,1135.223494,0.279915658,0.172360662,1.932233283,0.490671138,-0.139230169,24.70000076,9.276994287,2.89615026,4,1000.638131,-2.273005824,0.904999971,13.76665688,1.391442895,6.92214676,728.6753999,559.9259063,49.69894208,0.287812139,0.173263801,1.819973944,0.475507721,-0.138761729,30.48450896,17.78849629,2.43314438,230.5398819,880.8681902,-2.950000048,1.327300605,20.15902138,9.78185463,17.10764903,775.4493948,550.8275301,112.0344457,0.292454367,0.180731908,1.885925509,0.484596471,-0.119766002,28.78450886,17.53849629,1.809693616,369.5398819,2064.027718,-3.450000048,0.7923006,20.7300663,14.90590858,20.61794671,695.5572385,490.379121,98.86574706
"Malawi","online",2016,-13.80801,33.09244,"R5","TIKOLORE",3,2,"c2",65.91133676,60,12.22908359,21.93943314,24.64575393,138.9525507,24.06301204,67.51237785,1115.528458,0.266250844,0.171149286,1.869522174,0.481460253,-0.120170827,24.79999924,9.350000381,2.894999981,4,997,-2.349999905,0.904999971,13.76665688,1.391442895,5.480649276,740.4574096,566.5699343,49.84165679,0.2845582,0.186816781,1.803920545,0.471542533,-0.086021612,30.39999962,17.75,2.375,233,907,-3,1.315000057,20.15902138,9.78185463,11.40419255,771.9947203,541.1508475,109.7189695,0.285850357,0.190143327,1.828237275,0.47484304,-0.08138989,28.79999924,17.60000038,1.889999986,374,2135,-3.5,0.785000026,20.7300663,14.90590858,12.92797034,677.5395083,488.2514315,98.41449804
"Malawi","patrust",2023,-13.80301,32.894992,"x","x",5,5,"c5",64.26011435,58.96689111,14.03651683,19.98012716,23.74456988,140.1753179,21.39642105,53.73584056,1196.021582,0.322522977,0.240856015,2.084225946,0.509217561,-0.005381572,25.14999962,10.5,2.400000095,1,1372,3.529999971,1.004999995,13.33608437,1.926324487,776.1975263,776.1975263,607.9354522,56.43477448,0.370867517,0.280555836,2.073724213,0.508063919,0.011930515,30.95000076,18.70000076,2.650000095,240,650,1.879999995,1.350000024,20.77938271,9.507349014,788.0644339,788.0644339,583.5077412,123.7384117,0.376398698,0.294188747,2.174213391,0.520533201,0.030550126,30.70000076,19.39999962,2.400000095,162,398,1.210000038,1.370000005,21.55843544,9.639001846,741.1588052,741.1588052,542.1873854,121.5325019
